episode,score
0,0.0
1,0.0
2,-1.0
3,-1.0
4,0.0
5,0.0
6,0.0
7,-2.0
8,2.0
9,0.0
10,0.0
11,2.0
12,3.0
13,-3.0
14,2.0
15,1.0
16,1.0
17,-1.0
18,-1.0
19,1.0
20,1.0
21,0.0
22,2.0
23,0.0
24,1.0
25,-1.0
26,4.0
27,-2.0
28,-1.0
29,3.0
30,2.0
31,5.0
32,-1.0
33,0.0
34,-1.0
35,-2.0
36,-3.0
37,0.0
38,3.0
39,-1.0
40,-1.0
41,1.0
42,0.0
43,0.0
44,-2.0
45,-1.0
46,1.0
47,1.0
48,0.0
49,-2.0
50,0.0
51,1.0
52,-1.0
53,1.0
54,0.0
55,3.0
56,0.0
57,0.0
58,-1.0
59,1.0
60,-1.0
61,2.0
62,0.0
63,-2.0
64,1.0
65,1.0
66,5.0
67,-2.0
68,2.0
69,1.0
70,0.0
71,1.0
72,-1.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,2.0
79,2.0
80,0.0
81,-1.0
82,1.0
83,-1.0
84,0.0
85,0.0
86,2.0
87,-1.0
88,-2.0
89,0.0
90,1.0
91,0.0
92,0.0
93,1.0
94,0.0
95,1.0
96,0.0
97,1.0
98,3.0
99,2.0
100,-1.0
101,0.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,0.0
108,0.0
109,-1.0
110,3.0
111,0.0
112,0.0
113,1.0
114,2.0
115,1.0
116,1.0
117,1.0
118,0.0
119,5.0
120,3.0
121,4.0
122,3.0
123,0.0
124,0.0
125,0.0
126,1.0
127,1.0
128,4.0
129,1.0
130,3.0
131,3.0
132,4.0
133,0.0
134,0.0
135,4.0
136,2.0
137,2.0
138,5.0
139,1.0
140,2.0
141,5.0
142,5.0
143,2.0
144,1.0
145,3.0
146,2.0
147,3.0
148,5.0
149,7.0
150,0.0
151,-1.0
152,1.0
153,2.0
154,9.0
155,1.0
156,4.0
157,5.0
158,7.0
159,1.0
160,5.0
161,4.0
162,3.0
163,4.0
164,1.0
165,3.0
166,4.0
167,9.0
168,9.0
169,5.0
170,7.0
171,7.0
172,6.0
173,7.0
174,7.0
175,7.0
176,8.0
177,7.0
178,11.0
179,1.0
180,6.0
181,11.0
182,6.0
183,11.0
184,2.0
185,13.0
186,5.0
187,10.0
188,6.0
189,2.0
190,9.0
191,1.0
192,8.0
193,5.0
194,5.0
195,12.0
196,8.0
197,5.0
198,12.0
199,5.0
200,8.0
201,3.0
202,10.0
203,3.0
204,10.0
205,4.0
206,6.0
207,11.0
208,7.0
209,12.0
210,5.0
211,14.0
212,1.0
213,7.0
214,8.0
215,7.0
216,9.0
217,12.0
218,11.0
219,14.0
220,14.0
221,4.0
222,11.0
223,13.0
224,7.0
225,4.0
226,11.0
227,9.0
228,-1.0
229,4.0
230,6.0
231,8.0
232,17.0
233,20.0
234,15.0
235,11.0
236,12.0
237,8.0
238,14.0
239,10.0
240,8.0
241,12.0
242,10.0
243,18.0
244,15.0
245,4.0
246,8.0
247,6.0
248,8.0
249,11.0
250,9.0
251,12.0
252,10.0
253,17.0
254,7.0
255,11.0
256,20.0
257,9.0
258,18.0
259,3.0
260,13.0
261,15.0
262,16.0
263,16.0
264,17.0
265,14.0
266,12.0
267,19.0
268,11.0
269,18.0
270,13.0
271,12.0
272,12.0
273,21.0
274,8.0
275,5.0
276,5.0
277,14.0
278,17.0
279,17.0
280,6.0
281,9.0
282,8.0
283,14.0
284,9.0
285,7.0
286,19.0
287,8.0
288,3.0
289,17.0
290,13.0
291,9.0
292,13.0
293,8.0
294,17.0
295,18.0
296,12.0
297,16.0
298,11.0
299,11.0
300,11.0
301,4.0
302,10.0
303,8.0
304,15.0
305,8.0
306,14.0
307,7.0
308,3.0
309,8.0
310,8.0
311,8.0
312,11.0
313,10.0
314,17.0
315,16.0
316,9.0
317,11.0
318,11.0
319,11.0
320,14.0
321,12.0
322,12.0
323,6.0
324,11.0
325,12.0
326,6.0
327,12.0
328,6.0
329,9.0
330,15.0
331,16.0
332,6.0
333,9.0
334,6.0
335,10.0
336,7.0
337,19.0
338,13.0
339,11.0
340,13.0
341,13.0
342,13.0
343,14.0
344,13.0
345,10.0
346,17.0
347,9.0
348,8.0
349,11.0
350,11.0
351,16.0
352,11.0
353,17.0
354,14.0
355,10.0
356,18.0
357,17.0
358,17.0
359,7.0
360,10.0
361,12.0
362,7.0
363,13.0
364,15.0
365,9.0
366,18.0
367,14.0
368,13.0
369,11.0
370,18.0
371,7.0
372,21.0
373,10.0
374,14.0
375,14.0
376,14.0
377,18.0
378,15.0
379,12.0
380,12.0
381,14.0
382,19.0
383,10.0
384,9.0
385,17.0
386,11.0
387,13.0
388,11.0
389,16.0
390,13.0
391,17.0
392,16.0
393,12.0
394,17.0
395,20.0
396,14.0
397,9.0
398,18.0
399,17.0
400,15.0
401,12.0
402,15.0
403,14.0
404,9.0
405,16.0
406,20.0
407,21.0
408,13.0
409,10.0
410,14.0
411,13.0
412,13.0
413,14.0
414,16.0
415,19.0
416,16.0
417,17.0
418,7.0
419,14.0
420,19.0
421,7.0
422,15.0
423,13.0
424,17.0
425,17.0
426,13.0
427,19.0
428,17.0
429,14.0
430,12.0
431,13.0
432,11.0
433,13.0
434,19.0
435,22.0
436,20.0
437,13.0
438,18.0
439,17.0
440,12.0
441,13.0
442,13.0
443,11.0
444,13.0
445,14.0
446,19.0
447,21.0
448,15.0
449,7.0
450,13.0
451,19.0
452,18.0
453,13.0
454,22.0
455,17.0
456,5.0
457,17.0
458,19.0
459,16.0
460,19.0
461,20.0
462,10.0
463,14.0
464,13.0
465,13.0
466,12.0
467,18.0
468,18.0
469,15.0
470,18.0
471,15.0
472,13.0
473,21.0
474,18.0
475,9.0
476,19.0
477,18.0
478,12.0
479,10.0
480,11.0
481,14.0
482,18.0
483,11.0
484,15.0
485,14.0
486,13.0
487,21.0
488,17.0
489,13.0
490,13.0
491,14.0
492,15.0
493,13.0
494,17.0
495,15.0
496,11.0
497,20.0
498,16.0
499,15.0
500,8.0
501,13.0
502,18.0
503,14.0
504,21.0
505,19.0
506,13.0
507,16.0
508,14.0
509,19.0
510,6.0
511,22.0
512,16.0
513,14.0
514,13.0
515,14.0
516,12.0
517,14.0
518,13.0
519,16.0
520,12.0
521,19.0
522,4.0
523,15.0
524,19.0
525,12.0
526,17.0
527,16.0
528,13.0
529,13.0
530,13.0
531,13.0
532,17.0
533,23.0
534,19.0
535,15.0
536,9.0
537,14.0
538,14.0
539,11.0
540,17.0
541,14.0
542,21.0
543,21.0
544,16.0
545,12.0
546,18.0
547,17.0
548,17.0
549,20.0
550,21.0
551,18.0
552,11.0
553,12.0
554,19.0
555,13.0
556,13.0
557,15.0
558,14.0
559,17.0
560,13.0
561,14.0
562,23.0
563,19.0
564,15.0
565,12.0
566,10.0
