model,GAMMA,UPDATE_EVERY,num_units,win_iter
model-119,0.99,1,16,220.0
model-118,0.99,1,32,242.0
model-95,0.98,1,16,277.0
model-138,1.0,2,32,283.0
model-134,1.0,3,32,290.0
model-67,0.97,2,16,292.0
model-70,0.97,1,32,292.0
model-23,0.95,1,16,298.0
model-94,0.98,1,32,304.0
model-47,0.96,1,16,306.0
model-143,1.0,1,16,309.0
model-115,0.99,2,16,315.0
model-46,0.96,1,32,316.0
model-22,0.95,1,32,319.0
model-85,0.98,3,64,331.0
model-90,0.98,2,32,335.0
model-114,0.99,2,32,335.0
model-38,0.96,3,32,344.0
model-109,0.99,3,64,353.0
model-71,0.97,1,16,357.0
model-133,1.0,3,64,360.0
model-111,0.99,3,16,361.0
model-42,0.96,2,32,365.0
model-37,0.96,3,64,366.0
model-62,0.97,3,32,370.0
model-15,0.95,3,16,377.0
model-66,0.97,2,32,377.0
model-58,0.97,4,32,379.0
model-139,1.0,2,16,387.0
model-17,0.95,2,64,395.0
model-106,0.99,4,32,398.0
model-13,0.95,3,64,400.0
model-82,0.98,4,32,403.0
model-61,0.97,3,64,406.0
model-18,0.95,2,32,408.0
model-54,0.97,5,32,409.0
model-19,0.95,2,16,414.0
model-101,0.99,5,64,418.0
model-130,1.0,4,32,423.0
model-65,0.97,2,64,424.0
model-129,1.0,4,64,428.0
model-81,0.98,4,64,429.0
model-137,1.0,2,64,430.0
model-41,0.96,2,64,431.0
model-91,0.98,2,16,431.0
model-14,0.95,3,32,436.0
model-113,0.99,2,64,437.0
model-9,0.95,4,64,441.0
model-53,0.97,5,64,442.0
model-45,0.96,1,64,443.0
model-86,0.98,3,32,449.0
model-83,0.98,4,16,454.0
model-89,0.98,2,64,461.0
model-125,1.0,5,64,461.0
model-87,0.98,3,16,464.0
model-105,0.99,4,64,467.0
model-29,0.96,5,64,474.0
model-21,0.95,1,64,478.0
model-63,0.97,3,16,479.0
model-78,0.98,5,32,479.0
model-34,0.96,4,32,480.0
model-110,0.99,3,32,486.0
model-131,1.0,4,16,492.0
model-30,0.96,5,32,495.0
model-135,1.0,3,16,496.0
model-69,0.97,1,64,497.0
model-126,1.0,5,32,500.0
model-50,0.97,6,32,502.0
model-107,0.99,4,16,506.0
model-97,0.99,6,64,510.0
model-98,0.99,6,32,512.0
model-121,1.0,6,64,512.0
model-77,0.98,5,64,515.0
model-49,0.97,6,64,517.0
model-72,0.97,1,8,518.0
model-5,0.95,5,64,520.0
model-43,0.96,2,16,526.0
model-102,0.99,5,32,532.0
model-24,0.95,1,8,533.0
model-93,0.98,1,64,535.0
model-74,0.98,6,32,537.0
model-1,0.95,6,64,539.0
model-33,0.96,4,64,542.0
model-25,0.96,6,64,548.0
model-39,0.96,3,16,554.0
model-73,0.98,6,64,554.0
model-57,0.97,4,64,559.0
model-6,0.95,5,32,560.0
model-127,1.0,5,16,574.0
model-10,0.95,4,32,578.0
model-120,0.99,1,8,583.0
model-35,0.96,4,16,586.0
model-79,0.98,5,16,590.0
model-2,0.95,6,32,593.0
model-122,1.0,6,32,600.0
model-103,0.99,5,16,605.0
model-31,0.96,5,16,606.0
model-96,0.98,1,8,607.0
model-55,0.97,5,16,611.0
model-99,0.99,6,16,616.0
model-123,1.0,6,16,633.0
model-26,0.96,6,32,697.0
model-75,0.98,6,16,708.0
model-3,0.95,6,16,739.0
model-7,0.95,5,16,749.0
model-51,0.97,6,16,789.0
model-112,0.99,3,8,830.0
model-27,0.96,6,16,830.0
model-64,0.97,3,8,832.0
model-59,0.97,4,16,867.0
model-8,0.95,5,8,876.0
model-44,0.96,2,8,898.0
model-117,0.99,1,64,901.0
model-20,0.95,2,8,934.0
model-48,0.96,1,8,1008.0
model-52,0.97,6,8,1032.0
model-140,1.0,2,8,1043.0
model-108,0.99,4,8,1134.0
model-11,0.95,4,16,1231.0
model-136,1.0,3,8,1262.0
model-76,0.98,6,8,1301.0
model-28,0.96,6,8,1337.0
model-56,0.97,5,8,1359.0
model-124,1.0,6,8,1367.0
model-100,0.99,6,8,1400.0
model-40,0.96,3,8,1423.0
model-104,0.99,5,8,1482.0
model-68,0.97,2,8,1495.0
model-132,1.0,4,8,1533.0
model-116,0.99,2,8,1583.0
model-84,0.98,4,8,1640.0
model-32,0.96,5,8,1649.0
model-60,0.97,4,8,1692.0
model-16,0.95,3,8,1706.0
model-92,0.98,2,8,1712.0
model-80,0.98,5,8,1728.0
model-88,0.98,3,8,1761.0
model-36,0.96,4,8,1770.0
model-4,0.95,6,8,1806.0
model-12,0.95,4,8,1970.0
model-128,1.0,5,8,
model-141,1.0,1,64,
model-142,1.0,1,32,
model-144,1.0,1,8,
