model,GAMMA,UPDATE_EVERY,seed,num_units,win_iter
model-11910,0.99,1,10,16,195
model-9510,0.98,1,10,16,208
model-11850,0.99,1,50,32,240
model-13850,1.0,2,50,32,241
model-13450,1.0,3,50,32,250
model-13830,1.0,2,30,32,266
model-11920,0.99,1,20,16,282
model-13820,1.0,2,20,32,284
model-13430,1.0,3,30,32,308
model-11830,0.99,1,30,32,317
model-11840,0.99,1,40,32,347
model-9540,0.98,1,40,16,364
model-13840,1.0,2,40,32,392
model-13420,1.0,3,20,32,396
model-9520,0.98,1,20,16,401
model-13810,1.0,2,10,32,416
model-11820,0.99,1,20,32,439
model-11930,0.99,1,30,16,444
model-13440,1.0,3,40,32,456
model-11810,0.99,1,10,32,485
model-13410,1.0,3,10,32,501
model-11940,0.99,1,40,16,532
model-9530,0.98,1,30,16,551
model-9550,0.98,1,50,16,559
model-11950,0.99,1,50,16,1224
